Exercise,Sagittal Plane Lumbar Intervertebral Flexion (Dynamic),Frontal Plane Acetabulofemoral Adduction (Dynamic),Sagittal Plane Acetabulofemoral Flexion (Dynamic),Sagittal Plane Acetabulofemoral Extension (Dynamic),Sagittal Plane Tibiofemoral Flexion (Dynamic),Sagittal Plane Tibiofemoral Extension (Dynamic),Sagittal Plane Talocrural Plantarflexion (Dynamic),Transverse Plane Scapulothoracic Retraction (Dynamic),Transverse Plane Scapulothoracic Protraction (Dynamic),Frontal Plane Scapulothoracic Upward Rotation (Dynamic),Frontal Plane Scapulothoracic Downward Rotation (Dynamic),Frontal Plane Scapulothoracic Depression (Dynamic),Sagittal Plane Scapulothoracic Posterior Tilt (Dynamic),Transverse Plane Scapulothoracic External Rotation (Dynamic),Frontal Plane Glenohumeral Adduction (Dynamic),Frontal Plane Glenohumeral Abduction (Dynamic),Sagittal Plane Glenohumeral Flexion (Dynamic),Sagittal Plane Glenohumeral Extension (Dynamic),Transverse Plane Glenohumeral Horizontal Adduction (Dynamic),Transverse Plane Glenohumeral Horizontal Abduction (Dynamic),Scapular Plane Glenohumeral Elevation (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Supinated) (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Neutral) (Dynamic),Sagittal Plane Humeroulnar Flexion (Radioulnar Pronated) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Neutral) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Flexed) (Dynamic),Sagittal Plane Humeroulnar Extension (Glenohumeral Extended) (Dynamic),Sagittal Plane Radiocarpal Flexion (Dynamic),Sagittal Plane Metacarpophalangeal Flexion (Dynamic),Sagittal Plane Interphalangeal Flexion (Dynamic),Sagittal Plane Lumbar Intervertebral Flexion (Isometric),Sagittal Plane Lumbar Intervertebral Extension (Isometric),Transverse Plane Lumbar Intervertebral Rotation (Isometric),Frontal Plane Acetabulofemoral Abduction (Isometric),Sagittal Plane Acetabulofemoral Extension (Isometric),Transverse Plane Scapulothoracic Retraction (Isometric),Frontal Plane Scapulothoracic Depression (Isometric),Sagittal Plane Radiocarpal Extension (Isometric),Sagittal Plane Metacarpophalangeal Flexion (Isometric),Sagittal Plane Interphalangeal Flexion (Isometric)
Calves - Calf Raises (Leg Press Machine),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calves - Calf Raises (Machine) (Standing),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Dips (Machine),0,0,0,0,0,0,0,0,0.2,0,0.2,0.6,0,0,0,0,0.8,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Fly (Cable) (Bent Over Standing),0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0
Chest - Fly (Cable) (High-to-Low),0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.5,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Fly (Cable) (Kneeling),0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Fly (Cable) (Low-to-High),0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Fly (Cable) (Low-to-High) (Unilateral),0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
Chest - Fly (Cable) (Seated),0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Fly (Pec Deck Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Barbell),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Incline 15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.9,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Incline 20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Incline 24),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Incline 30),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Incline 30) (Larson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Larson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Paused),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Barbell) (Spoto) (Paused),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Cable) (Horizontal),0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Dumbbell) (Incline 15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.9,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Dumbbell) (Incline 20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Dumbbell) (Incline 24),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Dumbbell) (Incline 30),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Dumbbell) (Incline 40),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Machine) (Horizontal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Machine) (Horizontal) (Plate Loaded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Machine) (Incline),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Machine) (Incline) (Plate Loaded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest - Press (Smith Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Smith Machine) (Incline 10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.9,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Smith Machine) (Incline 30),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0,0,0
Chest - Press (Smith Machine) (Larson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0.4,0.25,0,0,0
Forearms - Behind Back Wrist Curls (Cable) (Straight Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Forearms - Grip Squeeze (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0.4,0,0
Forearms - Grip Squeeze (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0.4,0,0
Forearms - Reverse Curls (Cable) (Straight Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2
Forearms - Reverse Curls (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2
Forearms - Reverse Curls (EZ Bar) (Standing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2
Forearms - Reverse Curls (EZ Bar) (Standing) (Strict),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2
Forearms - Static Holds (Cable),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1
Forearms - Static Holds (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1
